"Time of Day","Process Name","PID","Operation","Path","Result","Detail"
"3:58:46.6882889 PM","calc1.exe","3952","CreateFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Desired Access: Generic Write, Read Attributes, Disposition: OverwriteIf, Options: Synchronous IO Non-Alert, Non-Directory File, Attributes: N, ShareMode: Read, Write, AllocationSize: 0, OpenResult: Created"
"3:58:47.7035460 PM","Explorer.EXE","4480","QueryDirectory","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Filter: my-total.txt, 1: my-total.txt"
"3:58:47.7285048 PM","MsMpEng.exe","1000","CreateFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","OPLOCK NOT GRANTED","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Open For Backup, Open Reparse Point, Open Requiring Oplock, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a"
"3:58:47.7285946 PM","MsMpEng.exe","1000","CreateFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Non-Directory File, Open For Backup, Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"3:58:47.7286806 PM","MsMpEng.exe","1000","FileSystemControl","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","OPLOCK HANDLE CLOSED","Control: FSCTL_REQUEST_OPLOCK"
"3:58:47.7287063 PM","MsMpEng.exe","1000","FileSystemControl","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Control: 0x902eb (Device:0x9 Function:186 Method: 3)"
"3:58:47.7287546 PM","MsMpEng.exe","1000","CloseFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS",""
"3:58:48.2593969 PM","Explorer.EXE","4480","CreateFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Desired Access: Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"3:58:48.2594345 PM","Explorer.EXE","4480","QuerySecurityFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","BUFFER OVERFLOW","Information: Owner, DACL"
"3:58:48.2594559 PM","Explorer.EXE","4480","QuerySecurityFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Information: Owner, DACL"
"3:58:48.2594752 PM","Explorer.EXE","4480","CloseFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS",""
"3:58:48.2596450 PM","Explorer.EXE","4480","CreateFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"3:58:48.2596749 PM","Explorer.EXE","4480","QueryBasicInformationFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","CreationTime: 4/17/2015 3:58:46 PM, LastAccessTime: 4/17/2015 3:58:46 PM, LastWriteTime: 4/17/2015 3:58:46 PM, ChangeTime: 4/17/2015 3:58:46 PM, FileAttributes: A"
"3:58:48.2596937 PM","Explorer.EXE","4480","CloseFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS",""
"3:58:48.2598665 PM","Explorer.EXE","4480","CreateFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"3:58:48.2598965 PM","Explorer.EXE","4480","QueryBasicInformationFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","CreationTime: 4/17/2015 3:58:46 PM, LastAccessTime: 4/17/2015 3:58:46 PM, LastWriteTime: 4/17/2015 3:58:46 PM, ChangeTime: 4/17/2015 3:58:46 PM, FileAttributes: A"
"3:58:48.2599149 PM","Explorer.EXE","4480","CloseFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS",""
"3:59:44.8288611 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 0, Length: 4,276, Priority: Normal"
"3:59:44.8317564 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 4,276, Length: 4,277, Priority: Normal"
"3:59:44.8336834 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 8,553, Length: 4,274, Priority: Normal"
"3:59:44.8357732 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 12,827, Length: 4,274, Priority: Normal"
"3:59:44.8381125 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 17,101, Length: 4,276, Priority: Normal"
"3:59:44.8402139 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 21,377, Length: 4,276, Priority: Normal"
"3:59:44.8421041 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 25,653, Length: 4,274, Priority: Normal"
"3:59:44.8440956 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 29,927, Length: 4,273, Priority: Normal"
"3:59:44.8462539 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 34,200, Length: 4,276, Priority: Normal"
"3:59:44.8481774 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 38,476, Length: 4,274, Priority: Normal"
"3:59:44.8485872 PM","calc1.exe","3952","WriteFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Offset: 42,750, Length: 735, Priority: Normal"
"3:59:44.8486265 PM","calc1.exe","3952","CloseFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS",""
"3:59:44.8488930 PM","MsMpEng.exe","1000","CreateFileMapping","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","FILE LOCKED WITH WRITERS","SyncType: SyncTypeCreateSection, PageProtection: "
"3:59:44.8489079 PM","MsMpEng.exe","1000","QueryStandardInformationFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","AllocationSize: 65,536, EndOfFile: 43,485, NumberOfLinks: 1, DeletePending: False, Directory: False"
"3:59:44.8489546 PM","MsMpEng.exe","1000","QueryNameInformationFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Name: \shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt"
"3:59:46.4838237 PM","Explorer.EXE","4480","CreateFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Desired Access: Read Attributes, Read Control, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"3:59:46.4838609 PM","Explorer.EXE","4480","QuerySecurityFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","BUFFER OVERFLOW","Information: Owner, DACL"
"3:59:46.4838819 PM","Explorer.EXE","4480","QuerySecurityFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Information: Owner, DACL"
"3:59:46.4839011 PM","Explorer.EXE","4480","CloseFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS",""
"3:59:46.4840945 PM","Explorer.EXE","4480","CreateFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
"3:59:46.4841531 PM","Explorer.EXE","4480","QueryBasicInformationFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","CreationTime: 4/17/2015 3:58:46 PM, LastAccessTime: 4/17/2015 3:58:46 PM, LastWriteTime: 4/17/2015 3:59:44 PM, ChangeTime: 4/17/2015 3:59:44 PM, FileAttributes: A"
"3:59:46.4841757 PM","Explorer.EXE","4480","CloseFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS",""
"3:59:46.4844144 PM","Explorer.EXE","4480","CreateFile","C:\shared-Mac-mini-Porter\calc\calc-home\calc1\Debug\my-total.txt","SUCCESS","Desired Access: Read Attributes, Disposition: Open, Options: Open Reparse Point, Attributes: n/a, ShareMode: Read, Write, Delete, AllocationSize: n/a, OpenResult: Opened"
